article_id,subject_bias_mean,subject_bias_std,framing_bias_mean,framing_bias_std,treatment_bias_mean,treatment_bias_std,guests_bias_mean,guests_bias_std,overall_bias_mean,overall_bias_std,n_scores,n_models
2025_08_01_exclusive_doj_official_who_approved_2_million_pay,-0.4375,0.7830495940019807,-0.33125,0.90533143102402,-0.565625,0.7119734896750018,-0.3125,0.729269040432496,-0.41171875,0.6251911166128856,16,8
2025_12_mamdani_popular_assemblies_democratic_socialism,-0.23125,0.5688804795385407,-0.20625,0.7841927909215523,-0.259375,0.6873181577697478,-0.09375,0.375,-0.19765625000000003,0.5198601324314711,16,8
2026_01_15_anti_ice_activists_goal_isnt_stopping_violence_it,-0.228125,0.7840001594387592,-0.23750000000000002,0.9198731796648202,-0.1875,0.8237111144084435,0.2,0.7042726744663604,-0.11328124999999999,0.6681359135373082,16,8
2026_01_29_forget_about_online_groypers_instagram_influencer,-0.5111111111111111,0.6503738241281788,-0.5499999999999999,0.7721722605740251,-0.8611111111111112,0.169148192751537,-0.2111111111111111,0.4196559437338057,-0.5333333333333333,0.42879737347609764,16,8
2026_02_13_turns_out_the_irishman_detained_by_ice_was_facing,-0.2777777777777778,0.8467257197253691,-0.14444444444444443,0.9938701010583716,-0.4666666666666667,0.8485281374238571,0.0,0.0,-0.2222222222222222,0.5742446729787264,16,8
2026_02_17_corporate_media_give_trans_hockey_game_shooter_th,-0.6333333333333333,0.7089898917944224,-0.6833333333333332,0.7756717518813397,-0.9166666666666666,0.11690451944500123,-0.13333333333333333,0.2160246899469287,-0.5916666666666667,0.3777124126457412,16,8
2026_02_17_hillary_clinton_says_mass_migration_went_too_far_,-0.47777777777777775,0.6851601597031488,-0.12222222222222223,0.9743943988162311,-0.36666666666666664,0.8845903006477066,-0.15555555555555556,0.5174724898753341,-0.2805555555555556,0.6045113959039794,16,8
2026_02_17_what_the_wall_street_journal_gets_wrong_about_the,-0.36666666666666664,0.4898979485566356,-0.04444444444444446,0.8353309390761111,-0.23333333333333334,0.5499999999999999,-0.022222222222222216,0.45215533220835125,-0.16666666666666666,0.43463346626784277,16,8
2026_02_18_affluent_white_female_liberals_are_living_in_a_ma,-0.49999999999999994,0.7895146188218006,-0.6428571428571429,0.734522844793686,-0.24285714285714285,0.9484322904265805,0.0,0.3,-0.3464285714285714,0.516887433632913,16,8
2026_02_18_davis_if_gop_wants_to_win_the_midterms_they_need_,-0.35384615384615387,0.46478558607775367,-0.5346153846153846,0.766590018465057,-0.43653846153846154,0.6516497800946731,-0.11538461538461539,0.9007831350609625,-0.3600961538461538,0.5548175520165535,16,8
