article_id,subject_bias_mean,subject_bias_std,framing_bias_mean,framing_bias_std,treatment_bias_mean,treatment_bias_std,guests_bias_mean,guests_bias_std,overall_bias_mean,overall_bias_std,n_scores,n_models
20minutes_103484304,-0.034999999999999996,0.2728959915832811,0.061999999999999986,0.4645140830301417,0.004999999999999999,0.13426756040748553,0.030000000000000006,0.07149203529842406,0.015499999999999996,0.17675626658700894,16,9
20minutes_103485887,-0.01428571428571429,0.09449111825230681,-0.27444444444444444,0.2130206041156061,-0.06142857142857143,0.25964261151491624,-0.1625,0.25035688811888407,-0.19861111111111113,0.2501908993371084,16,9
20minutes_103504830,-0.20909090909090908,0.4300105706945946,-0.2384615384615385,0.5216775209815311,-0.14,0.4012707088963532,-0.15384615384615385,0.37553380809940534,-0.21307692307692305,0.34540006068771456,16,9
20minutes_103510423,-0.009000000000000005,0.08517302650748323,0.010000000000000009,0.15663120165960975,0.027000000000000003,0.09638464608017193,0.004,0.012649110640673518,0.008000000000000002,0.0712078335266251,16,9
20minutes_103512116,-0.22500000000000003,0.3605551275463989,-0.328125,0.4304914826877143,-0.38437499999999997,0.395692957565164,0.0,0.0,-0.234375,0.27338541170540415,16,9
20minutes_103513290,-0.03785714285714286,0.19272054584607423,-0.031428571428571424,0.22514464215279448,-0.08142857142857143,0.22027455395682705,0.03571428571428571,0.07449463436684921,-0.02875,0.15284717732226727,16,9
20minutes_103514075,-0.03125,0.06020797289396148,-0.10625000000000001,0.26449637678677823,-0.025,0.08563488385776752,0.0,0.0,-0.040625,0.07409172243465079,16,9
20minutes_103514149,-0.45875,0.4492642132791497,-0.585,0.5504664688546735,-0.5800000000000001,0.587922897439225,-0.16999999999999998,0.2796426290821913,-0.44843750000000004,0.39544055073634854,16,9
20minutes_103514227,-0.18562499999999998,0.2607161611152379,-0.2175,0.3168069864549497,-0.1625,0.3122498999199199,-0.090625,0.16352242455801996,-0.1640625,0.18890446218481272,16,9
20minutes_103514270,-0.29375,0.4578482281280556,-0.305,0.592283715798434,-0.20124999999999998,0.596007550287746,0.00625,0.025,-0.1984375,0.3943051641812468,16,9
20minutes_103514338,-0.23125,0.4643543905251678,-0.18125,0.40036441733334227,-0.04375,0.3076117683054405,0.0,0.0,-0.1140625,0.24357899984741432,16,9
20minutes_103514345,0.028125,0.08557404201430868,-0.146875,0.351884805961648,-0.1125,0.3827531841800928,-0.018750000000000003,0.12230426539304888,-0.0625,0.20519299858101073,16,9
20minutes_103514363,-0.1575,0.40211938525766205,-0.210625,0.5123211069892267,-0.14375000000000002,0.433541616610601,-0.044375,0.3550205393119296,-0.1390625,0.33726457838518015,16,9
20minutes_103514466,-0.44375,0.5134442520858521,-0.4,0.5391351098441528,-0.46875,0.5621017108436278,-0.16875,0.27980648074457937,-0.3703125,0.3681280064959289,16,9
20minutes_405723338808,-0.023,0.14514743462348131,-0.22166666666666668,0.49215358529137176,-0.17833333333333332,0.39611369656458556,-0.07272727272727274,0.34389216068677425,-0.18395833333333333,0.4049936283636466,16,9
cathinfo_014119745235,-0.26200000000000007,0.2923516267856407,-0.358,0.3519509535208145,-0.24900000000000003,0.32665610437632386,-0.025,0.07863975156570492,-0.22349999999999998,0.2098925163531388,21,11
cathinfo_034785673294,-0.09523809523809523,0.18021151593666393,-0.26809523809523805,0.41045851249083687,-0.023809523809523808,0.387175363246116,0.014285714285714285,0.06546536707079771,-0.09321428571428572,0.18624101128836873,21,11
cathinfo_124594657656,-0.10476190476190476,0.2991257101557646,-0.01904761904761905,0.08135752957807668,-0.02857142857142857,0.09023778112773576,0.0,0.0,-0.0380952380952381,0.08463858739481937,21,11
cathinfo_194493006529,-0.3333333333333333,0.46079641202306837,-0.30000000000000004,0.46475800154489005,-0.2666666666666667,0.4385582439463809,0.0,0.0,-0.22499999999999998,0.2906888370749727,21,11
cathinfo_234305067909,-0.2761904761904762,0.47106768293395157,-0.2857142857142857,0.46613915764041347,-0.29047619047619044,0.4614160399300851,0.009523809523809525,0.043643578047198484,-0.21071428571428572,0.31450073813222484,21,11
cathinfo_259731758893,-0.04999999999999999,0.0632455532033676,-0.07619047619047618,0.2300103517339207,-0.014285714285714285,0.11526367287968176,0.0,0.0,-0.035119047619047626,0.0734867172967171,21,11
